scan_date,qrcode_url,domain,continent,country,region,city,device,browser,os,utm_referral,utm_source,utm_medium,utm_campaign,utm_term,utm_content
2026-06-10 19:51:10 +00:00,https://qrc-ai.com/7FLHD,qrc-ai.com,Europe,Poland,Mazovia,Warsaw,(unknown),Firefox,Windows,,,,,,
2026-06-10 19:51:07 +00:00,https://qrc-ai.com/7FLHD,qrc-ai.com,Europe,Poland,Mazovia,Warsaw,(unknown),Firefox,Windows,,,,,,
2026-06-10 19:51:00 +00:00,https://qrc-ai.com/7FLHD,qrc-ai.com,Europe,Poland,Mazovia,Warsaw,(unknown),Firefox,Windows,,,,,,
2026-06-10 19:50:51 +00:00,https://qrc-ai.com/7FLHD,qrc-ai.com,Europe,Poland,Mazovia,Warsaw,(unknown),Firefox,Windows,,,,,,
2026-06-09 19:38:37 +00:00,https://qrc-ai.com/JaW59,qrc-ai.com,Europe,Poland,Mazovia,Warsaw,(unknown),Firefox,Windows,,,,,,
2026-06-09 19:37:54 +00:00,https://qrc-ai.com/JaW59,qrc-ai.com,Europe,Poland,Mazovia,Warsaw,(unknown),Firefox,Windows,,,,,,
2026-06-08 19:30:01 +00:00,https://qrc-ai.com/1zi2A,qrc-ai.com,Europe,Poland,Mazovia,Warsaw,mobile,Mobile Firefox,Android,,,,,,
2026-06-07 16:34:55 +00:00,https://qrc-ai.com/1zi2A,qrc-ai.com,Europe,Poland,Mazovia,Warsaw,mobile,Mobile Firefox,Android,,,,,,
2026-06-06 13:06:17 +00:00,https://qrc-ai.com/1zi2A,qrc-ai.com,Europe,Poland,Mazovia,Warsaw,mobile,Mobile Firefox,Android,,,,,,
